DATE,TWEETS,LIKES,RETWEETS
2020-06-03 23:59:49,"🎬Must See Video🎬

They were screaming for the #WHO

The #POLICE 👮‍♀️ 

🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔 https://t.co/QibXU00erd",75,68
2020-06-03 23:59:41,"memo to nevertrump Faucikins on #Hydroxycloroquine 
#WHO reversed course on inaccurate conclusion as to drug’s safety. Resumes efficacy trail https://t.co/BO3F3EqvCt https://t.co/tQMxTkB19Y",2,3
2020-06-03 23:59:35,"🚨BREAKING: Great news! Dr. Tony Fauci says the US should have 100 million doses of Moderna’s #COVID19 vaccine by the end of 2020, a “couple hundred million doses” by early 2021, and enough data by Dec’19 to determine if the #vaccine works.🤞🏼

#coronavirus
https://t.co/gMvK22jrPM",1328,543
2020-06-03 23:59:23,"Stupid doctor tried to catch up on missed #vaccinations.
Bently Neathery died after receiving 13 #vaccines. Note, he got TWO DTaP doses, TWO #polio (oral + shot) &amp; THREE doses of rotavirus #vaccine in one visit. 

https://t.co/aRhazLiNwE

#VaccineDeath #VaccineInjury #SIDS https://t.co/ndNdLB4f5a",108,118
2020-06-03 23:57:47,"@IngrahamAngle #WHO cannot be trusted

The #COVID experts are ridiculous. Ending the lockdown for riots are ok, but too dangerous to end them for an economic depression. 

At least the #VoteByMail2020 argument is quashed. Can’t argue its too dangerous to get out and vote!",22,12
2020-06-03 23:57:27,"Just interviewed @GarlandNixon &amp; Dr Margaret Harris of WHO. Don’t miss the show this Saturday!

#GeorgeFloydProtests #COVID19 #who @georgegalloway https://t.co/2DgafV8ezs",29,14
2020-06-03 23:57:20,"FUCK YOU AND YOUR DISGUSTING, DIRTY MASKS THAT MAKE THE VIRUS WORSE AND CONCEALS THE IDENTITY OF TERRORISTS. #PLANdemic #NWO #BillGates #WHO

YOU ARE INSANE CUOMO/#Antifa. #Election2020 https://t.co/Z3ttRJXHHn",77,37
2020-06-03 23:56:46,"A Preemie Died After Receiving 8 #Vaccine Doses

https://t.co/km7RDNmPBK

#LearnTheRisk #VaccineInjury #SIDS #VaccineDeath https://t.co/mGJrB6k1JH",54,59
2020-06-03 23:56:02,"🎬Must See Video🎬

They were screaming for the #WHO

The #POLICE 👮‍♀️ 

🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔 https://t.co/QibXU00erd",75,68
2020-06-03 23:55:44,Here we go! #covid19 test negative / bloods drawn / #vaccine on the way.  I’m probably going to get symptoms tonight so stay tuned / last vaccine / blood tests next week / then we wait / pray that this thing works!!!!  @NYUDocs @NYUDocs 🩸😷wear your masks in public ! Stay safe!! https://t.co/OmOFCmVegj,112,2
2020-06-03 23:55:42,"@NYGovCuomo FUCK YOU AND YOUR DISGUSTING, DIRTY MASKS THAT MAKE THE VIRUS WORSE AND CONCEALS THE IDENTITY OF TERRORISTS. #PLANdemic #NWO #BillGates #WHO

YOU ARE INSANE CUOMO/#Antifa. #Election2020 https://t.co/ZEMnVNaCuA",86,41
2020-06-03 23:55:20,"FUCK YOU AND YOUR DISGUSTING, DIRTY MASKS THAT MAKE THE VIRUS WORSE AND CONCEALS THE IDENTITY OF TERRORISTS. #PLANdemic #NWO #BillGates #WHO

YOU ARE INSANE CUOMO/#Antifa. #Election2020 https://t.co/Z3ttRJXHHn",77,37
2020-06-03 23:54:55,"On Wednesday, #WHO Director-General Tedros Adhanom Ghebreyesus confirmed that WHO is set to resume its trial of #hydroxychloroquine for potential use against the novel #coronavirus. https://t.co/nksH04cICR",12,8
